handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Product,Fuji Apple(CHN),,9db03f_c872e98224ed4afb87773bffcfcfdea4~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,88/113p;64/72/80p;125/138/150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,80.0,true,,,InStock,,,,88/113p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,112.0,true,,,InStock,,,,64/72/80p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,78.0,true,,,InStock,,,,125/138/150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Product,Fuji Apple SA,,9db03f_e3e93d3ed0654ef6b5467d9faf19d960~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,100;150;180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,0.0,true,,,InStock,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,118.0,true,,,InStock,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,108.0,true,,,InStock,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ba11f3eb-f0e3-3eb7-973b-88e88692a671,Product,Royal Gala Apple(SA)/135p,,9db03f_2273f112c4d141808cd8b02d2b898566~mv2.png,,,,102.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_94c17ad3-c0a0-a51d-7e12-7d7dc1927ff8,Product,Honey Mandarin(CHN)/84,,9db03f_fffe319d5c814799bcb87c067e84f2ab~mv2.jpg,,,,55.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cfdf4b33-be61-7d88-b9d3-57ef3ac49a6a,Product,Valencia Orange (EGY),,9db03f_50c08779a6894313b638251c5cce2cf4~mv2.png,,,,55.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,72;88;100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d2dc6e6-7cdb-b721-e6f9-4b26ac80b626,Product,Century Pear(CHN)/42p,,9db03f_fd05ff96c4ed4f37b2ee790daece6cc1~mv2.jpg,,,,88.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ea76f112-3fe9-4811-fb92-df065939f57d,Product,Fragrant Pear(CHN)/7kg/XL,,9db03f_d1f5cd9a9c484d53a0adbe908ec2dd55~mv2.jpg,,,,65.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e2339ed6-4874-dcfb-f327-31bf537bebaf,Product,Ya Pear(CHN),,9db03f_d6feb25731ec478c81fdfa6d5cd31a2d~mv2.png,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,80p;96p;112p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e2339ed6-4874-dcfb-f327-31bf537bebaf,Variant,,,,,,,,55.0,true,,,InStock,,,,80p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e2339ed6-4874-dcfb-f327-31bf537bebaf,Variant,,,,,,,,50.0,true,,,InStock,,,,96p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e2339ed6-4874-dcfb-f327-31bf537bebaf,Variant,,,,,,,,45.0,true,,,InStock,,,,112p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_541b6c19-ace4-0351-9d77-7187dfbeaa6c,Product,Gong Pear(CHN)/36p,,9db03f_0351ba576e764857bd6277e92ec86e8b~mv2.jpg,,,,55.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6d93806-7ce1-8417-148c-d58d02097bc6,Product,Sonaka Grape(IND)/500g*10p,,9db03f_aaf8d1e1c4134fdf9fec74897e4b1ea1~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9dbbb965-be61-5c8e-640b-e7365cb67b40,Product,Lychee(CHN),,9db03f_a44dd67109bf45ca9f6956fb1bceb251~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,1kg*12p;9kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_251a71dc-bad4-c5f3-d2b9-05444e842f72,Product,Cherry(USA)/5kg,,9db03f_491fe300438242f1af5283727e22c52a~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e6c09cd5-b16c-b307-7318-94cf03645078,Product,Hami Melon CHINA/9kg,,9db03f_a1bb25bc04d04e75a04a5700c3ce80b0~mv2.jpeg,,,,60.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6f03ef7b-bc74-5b9f-b5f5-932977ffe865,Product,Lemon,,9db03f_f12f31a6c32749828dc1799cfb845c2e~mv2.jpeg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,CHN(75);SA(113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6f03ef7b-bc74-5b9f-b5f5-932977ffe865,Variant,,,,,,,,85.0,true,,,InStock,,,,CHN(75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6f03ef7b-bc74-5b9f-b5f5-932977ffe865,Variant,,,,,,,,88.0,true,,,InStock,,,,SA(113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62575667-53c2-2ba7-68fb-c8100d44afcd,Product,BANGLADESH/Potato/500g*10p,,9db03f_793f5ccf06cb4a148885b245dac4de05~mv2.jpg,Potato type Vegetables;VEGETABLES,,,13.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d0759759-f3b1-3b01-3e03-70b1f719242d,Product,Big Shallot(IND)/500g*10p,,9db03f_9a63d582681a460da03b58a577b32762~mv2.jpg,Potato type Vegetables;VEGETABLES,,,15.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9a69f6c3-98b5-a79b-c0b9-ea00056b5709,Product,Dried Chilli(IND)/100g*10p,,9db03f_e0287f4fd66144688427684641129481~mv2.jpg,Fruity Vegetables;VEGETABLES,,,18.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c915ac81-413c-a59f-dccb-3dd24b7778de,Product,Sweet Corn(25packet*2pcs),,9db03f_2300571416e64365b00c72f7e22c1f57~mv2.jpg,Fruity Vegetables;VEGETABLES,,,68.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8ce53dba-92b4-6e05-0d41-fbb1b6c1a2b9,Product,Sweet Tamarind(1kg*10p),,9db03f_2d302c1bfb344bed825748d9e9cf9d26~mv2.jpg,Fruity Vegetables;VEGETABLES,,,135.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_47ec646a-812a-b2a3-ba8a-044fade75e4b,Product,Dried Seaweed(50g*30p),,9db03f_610aa45b66334cd49989890f6291f383~mv2.jpg,VEGETABLES,,,65.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_955c87d6-bcea-5636-8e23-94fae0c5a348,Product,GroundNut(5kg),,9db03f_16530b86424e481ea68a131381442e9c~mv2.jpg,Vegetable Beans;VEGETABLES,,,50.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cbe377df-631a-fa43-e103-d002aa10aba4,Product,Salt Plum,,9db03f_4b4a2b60c14f4441ae6441cce4eee439~mv2.jpg,VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,168g*48;2kg*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cbe377df-631a-fa43-e103-d002aa10aba4,Variant,,,,,,,,80.0,true,,,InStock,,,,168g*48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cbe377df-631a-fa43-e103-d002aa10aba4,Variant,,,,,,,,85.0,true,,,InStock,,,,2kg*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bbb199be-f4d0-85da-8c71-b5e42f73cde3,Product,Sichuan Slide(30kg),,9db03f_5a162982e1124dd195e4e578ad762836~mv2.jpeg,Fruity Vegetables;VEGETABLES,,,115.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,250g*50p;38kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83406623-4655-7847-f2bd-10e454a22df7,Product,Sichuan Whole,,9db03f_5a162982e1124dd195e4e578ad762836~mv2.jpeg,Fruity Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,250g*50p;38kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83406623-4655-7847-f2bd-10e454a22df7,Variant,,,,,,,,0.0,true,,,InStock,,,,250g*50p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83406623-4655-7847-f2bd-10e454a22df7,Variant,,,,,,,,0.0,true,,,InStock,,,,38kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a80ffe92-29f3-cdc2-b2c1-1733da0a78c9,Product,Garlic Pulp,,9db03f_1d6294dc343a43a3b54d32cd309361fe~mv2.png,Potato type Vegetables;VEGETABLES,,,270.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_84161580-6b2a-cf0e-a49c-86ee4ccfc37b,Product,Lotus Seed(100g*50p),,9db03f_84585ce82632417794a3627f7b86caf9~mv2.jpg,Vegetable Beans;VEGETABLES,,,130.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_61fdc416-212c-961f-8955-2af906686a90,Product,Ginkgo Nut(80g*100p),,9db03f_2564872f2e714af5a39a91eb0172dc20~mv2.jpeg,Vegetable Beans;VEGETABLES,,,95.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3fa513c6-bc80-52ce-8d9e-ac9143fa2370,Product,Bamboo Shoot (10kg),,9db03f_620c4568000f4f288a7198771e3d559c~mv2.jpg,VEGETABLES,,,130.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3558830c-050c-e8d3-fbd1-31a9a1ce62f3,Product,Fresh Black Fungus(200g*25p),,9db03f_1210f8d3633f4e0e9b02d53cc68f2e5c~mv2.jpg,VEGETABLES,,,65.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_31b40427-6442-af96-198a-2fe53d12714a,Product,Wax Gourd(1kg),,9db03f_97b649f47abe440282abc469cd369bfb~mv2.jpg,Fruity Vegetables;VEGETABLES,,,4.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_197dd2ec-8246-e5bb-c81b-f209e9b4cbdf,Product,Arrow Root (10kg),,9db03f_87d117cdcf4b44d3b17e14029db0f8df~mv2.jpg,Potato type Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
