handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_22a26456-4d45-8ae0-cbbb-cdb907a37d0f,Product,Yacon(7kg),,9db03f_1abb706fe7a74f60960d0ab55c3ff85d~mv2.jpg,Potato type Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6e386e56-f802-983f-2707-a3c70633cbf6,Product,Baby Qing Bak(4kg),,9db03f_bc9b51d7b1a746d4a171909af820cda4~mv2.jpg,VEGETABLES,,,50.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_add34a90-8200-ccfd-e92b-7d85b2de903e,Product,Baby Dou Bak (4kg),,9db03f_91ca6b55ff8947f684e2d9cf46eb10a6~mv2.jpg,VEGETABLES,,,50.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0554fa1-34ef-fa77-fbb3-33d057eddfe7,Product,Burdock Root (10kg),,9db03f_a110e79db4fd46688efeb910cb4284a8~mv2.jpg,Potato type Vegetables;VEGETABLES,,,48.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1af0fa40-cafe-ed1d-0d75-4ab332c0ecde,Product,Huai Shan(10kg),,9db03f_2c9a427013d448aa9d1a0ea1269483a3~mv2.png,Potato type Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,Normal;Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1af0fa40-cafe-ed1d-0d75-4ab332c0ecde,Variant,,,,,,,,70.0,true,,,InStock,,,,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1af0fa40-cafe-ed1d-0d75-4ab332c0ecde,Variant,,,,,,,,60.0,true,,,InStock,,,,Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_001a89ad-8e67-143c-0fb9-4418c6794e5d,Product,Mixed Mushroom(400g*20p),,9db03f_97ab1b7a1ba1445a8329c32996f45b3d~mv2.jpg,Mushroom;VEGETABLES,,,95.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_21a7719c-c1e2-73bb-2173-1da752a31705,Product,Snow White Mushroom(150g*40p),,9db03f_c6e49c3f7e2346b89626fcb3b08bf85e~mv2.jpg,Mushroom;VEGETABLES,,,75.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d380f71a-9700-1ec4-b136-72b8767eba0e,Product,Sweet Pea(130g*30p),,9db03f_6f73f2c0110446d9a787de2899de54c4~mv2.jpg,Vegetable Beans;VEGETABLES,,,53.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a2fcf041-930d-cf52-1d46-9da597d4e9c0,Product,Garlic Sprout (10kg),,9db03f_5e27bc956eaa45afac1c36ac3bc7b443~mv2.jpg,Leafy Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_61bfecb8-d292-859c-cb5e-933c42e33c01,Product,Lettuce Shoot(10kg),,9db03f_81aeddeaa83e4a23b7b72d49a7092322~mv2.jpg,Leafy Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f6da0041-7cc7-f271-af12-bceeb1100247,Product,Spinach(200g*20p),,9db03f_5797488dfd8542d1a693a0f5e20a8b3c~mv2.jpg,Leafy Vegetables;VEGETABLES,,,60.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83e86e4f-d8b7-c2e7-e050-ba7825ec3411,Product,Mak Choy (300g*13p),,9db03f_32b2ed2961f5467a9e619942ce153c5d~mv2.jpg,Leafy Vegetables;VEGETABLES,,,50.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7deee2a9-6e85-964a-b8c8-dfbf11ae71c2,Product,Kale/Baby Kale/Stem Kale,,9db03f_f4fac569c949467db16b1efc5f260a94~mv2.jpg;9db03f_6281f35bf89847fda92db38487297fcb~mv2.png;9db03f_a2407a285f1e49a984f4d08a98ad94ee~mv2.jpg,Leafy Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,Big(5.5kg);Baby(4kg);Stem Kale(10kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7deee2a9-6e85-964a-b8c8-dfbf11ae71c2,Variant,,,,,,,,65.0,true,,,InStock,,,,Big(5.5kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7deee2a9-6e85-964a-b8c8-dfbf11ae71c2,Variant,,,,,,,,60.0,true,,,InStock,,,,Baby(4kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30545277-1b28-9d6d-6524-2d5e1a49fbb6,Product,CHN Wong Bok/Baby Wong Bok,,9db03f_66a1602ff36f446c9a222d62d7f92a66~mv2.jpg,Leafy Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,Size,DROP_DOWN,Small;Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30545277-1b28-9d6d-6524-2d5e1a49fbb6,Variant,,,,,,,,65.0,true,,,InStock,10.0,,,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30545277-1b28-9d6d-6524-2d5e1a49fbb6,Variant,,,,,,,,25.0,true,,,InStock,10.0,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5ea71210-1435-3a55-2789-1a49d8a93639,Product,Purple Cabbage(10kg),,9db03f_ce43d5917bec44e986573ded956d24f5~mv2.jpg,Leafy Vegetables;VEGETABLES,,,65.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b2b587b6-96e4-0a43-03fa-22a5b41672bf,Product,CHINA Cabbage(20kg),,9db03f_c5f1bf03572444c5b49fd808e45b4ad3~mv2.jpg,Leafy Vegetables;VEGETABLES,,,22.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f180144a-cd9c-abe4-316a-2d21defa565b,Product,VIET Carrot,,9db03f_729b6bc7f3f74f398fceea02cafc99a6~mv2.jpg,Potato type Vegetables;VEGETABLES,,,12.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,10kg;4.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f180144a-cd9c-abe4-316a-2d21defa565b,Variant,,,,,,,,21.0,true,,,InStock,,,,10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f180144a-cd9c-abe4-316a-2d21defa565b,Variant,,,,,,,,12.0,true,,,InStock,,,,4.5kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fd34452f-900e-63ee-dd01-8553da97436d,Product,VIET Sweet Potato (Yellow/Purple) /10kg,,9db03f_8ec6929185a6452dae7f3a0865e91232~mv2.jpg;9db03f_5229e37e8cbe4d2aaecd02c2ceee9db0~mv2.jpg,Potato type Vegetables;VEGETABLES,,,65.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,"#f1c827;#800080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8e3c7a66-db31-4a46-0976-1f4cd6b86edd,Product,VIET Sweet Potato (Yellow/Purple) /5kg,,9db03f_8ec6929185a6452dae7f3a0865e91232~mv2.jpg;9db03f_5229e37e8cbe4d2aaecd02c2ceee9db0~mv2.jpg,Potato type Vegetables;VEGETABLES,,,38.0,,true,PERCENT,0.0,InStock,0.0,Type/Colour,DROP_DOWN,"#f1c827;#800080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1eb16b2f-2cf4-32df-b8f8-25eca5b27246,Product,JAPAN Huai Shan (10kg),,9db03f_e5ce15857b5d4622a35b949ce49d6139~mv2.jpg,Potato type Vegetables;VEGETABLES,,,290.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d70e95f6-df87-e6ec-b0aa-4763097cc3e6,Product,USA Baby Carrot(250kg*40p),,9db03f_9f2f2be0a474460ba33be751784645f2~mv2.png,Potato type Vegetables;VEGETABLES,,,180.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8fd391e2-836b-443d-874b-71fbc11b58e3,Product,CHN Baby Pumpkin (2kg),,9db03f_8c313fafd24645b18b325c4431e65907~mv2.jpg;9db03f_11b64d0f9a79454981c1fedc082a8656~mv2.png,Fruity Vegetables;VEGETABLES,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3cacd80e-c122-0ad6-a29d-95e62d95855b,Product,AUS Purple Carrot(9kg /500g*15p),,9db03f_88c060101bf84701b4ceb335a940f587~mv2.png,Potato type Vegetables;VEGETABLES,,,80.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,9kg;500g*15p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f27c2ae8-0185-52db-dea3-459f2cab1792,Product,AUS Potato Nadine/Ruby Lou/Royal Blue/Chat Baby (15kg),,9db03f_f52c752772bf4f59bd97dc602749224b~mv2.jpg;9db03f_e8302e18a1664f5fb97e17f79c522a78~mv2.jpg;9db03f_0945b01a8fe542dbb463675e9ee51db5~mv2.jpg;9db03f_151bcd52338f4a8d91d96fc7135be01d~mv2.jpg,Potato type Vegetables;VEGETABLES,,,100.0,,true,PERCENT,0.0,InStock,0.0,Type,DROP_DOWN,Nadine(Green);Ruby Luo(Red);Royal Blue(Purple);Chat(Baby),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3300b9b7-8273-663a-5edc-5286a362c064,Product,Turkey Whole Raw,,9db03f_ab49540abb9e45c4851f329f8da52eb4~mv2.jpg,MEAT & POULTRY;Turkey,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c8dc4373-470e-13ae-57aa-03b6a4463c9b,Product,Turkey Breast,,9db03f_53d8ba43860f44baa3c225120579a35b~mv2.jpg,MEAT & POULTRY;Turkey,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_243d9efb-d77d-eafb-78ee-460661098ae5,Product,Sliced Turkey Toast,,9db03f_694c342f9659494481d8192fdd28902c~mv2.jpg,MEAT & POULTRY;Turkey,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_93fe00be-ffb7-7677-3bcd-ae0ae8263e7d,Product,Turkey Bacon,,9db03f_3fe82204ce2744d4bc2398815f7841ab~mv2.jpg,MEAT & POULTRY;Turkey,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_29f7c821-5bed-0a5c-c8a3-837bbd621f3a,Product,Duck Breast Raw Meat,,9db03f_c033e81ea14c4ecc8856964cb8399ef1~mv2.jpg,Duck;MEAT & POULTRY,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8b1d7b87-0be1-b6df-53e9-56fcf0b9e331,Product,Smoked Duck,,9db03f_16729d13e965473fbf46774db2c46a3a~mv2.jpeg,Duck;MEAT & POULTRY,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_67573f49-817c-c6b6-dc29-de82720bc462,Product,Whole Duck,,9db03f_5c4157772f2846a9a11e31960cfdd2dc~mv2.jpg,Duck;MEAT & POULTRY,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fecfde5c-662f-1d6b-7d27-7cdfa3522061,Product,Quail,,9db03f_ed1a01d979c642dabeca2797056aa06d~mv2.jpg,MEAT & POULTRY;Quail,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_dccd8adb-f1ac-5474-926c-3aad19e9f0ce,Product,Ostrich Steak/Meat,,9db03f_7b7f0234581646fd9c925cb1c14f2cec~mv2.jpg,MEAT & POULTRY;Ostrich,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a81f12c6-258b-966a-3949-8853acd0d4b0,Product,Venicon Meat,,9db03f_5765dd38d63f436891b178404536dd32~mv2.jpg,MEAT & POULTRY;Venicon Meat,,,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_09580552-2139-db70-2850-79a3f04e4c1e,Product,Minced Chicken (2kg),,9db03f_ded105508f9042a0a4efefc0d10b380f~mv2.jpg,Chicken;MEAT & POULTRY,,,29.4,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2247a4e0-c7df-0920-e2f5-d859d6a1e109,Product,Fresh Chicken Skin (800g-1kg) [Halal],,9db03f_f119337e663f45e2a46a096e0f8768c2~mv2.jpg,Chicken;MEAT & POULTRY,,,6.5,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_99fbc27a-1c31-0933-a0de-3fa85e349129,Product,Fresh Chicken Gizzard (800g-1kg) [Halal],,9db03f_1ecd4ce1b3f54acfb02a4128d206ca58~mv2.jpg,Chicken;MEAT & POULTRY,,,7.8,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
